"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-07-22",,,,,,,,,,,,,"5.8",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"35.0",",,Z","22.2",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-07-23",,,,,,,,,,,,,"0.5",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"26.7",",,Z","21.1",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-07-24",,,,,,,,,,,,,"5.1",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"31.1",",,Z","21.7",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-07-25",,,,,,,,,,,,,"6.1",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"33.9",",,Z","21.7",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-07-26",,,,,,,,,,,,,"0.0",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"36.7",",,Z","21.1",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-07-27",,,,,,,,,,,,,"0.0","T,,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"37.8",",,Z","22.8",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-07-28",,,,,,,,,,,,,"0.0",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"37.2",",,Z","23.3",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-07-29",,,,,,,,,,,,,"0.0",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"35.6",",,Z","22.2",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-07-30",,,,,,,,,,,,,"3.0",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"35.6",",,Z","23.3",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-07-31",,,,,,,,,,,,,"0.0",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"32.8",",,Z","20.6",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-08-01",,,,,,,,,,,,,"0.0",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"26.7",",,Z","17.2",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-08-02",,,,,,,,,,,,,"0.0",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"25.0",",,Z","15.6",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-08-03",,,,,,,,,,,,,"0.0",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"28.9",",,Z","15.0",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-08-04",,,,,,,,,,,,,"0.0",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"30.0",",,Z","15.0",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-08-05",,,,,,,,,,,,,"0.0",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"32.2",",,Z","18.9",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-08-06",,,,,,,,,,,,,"39.4",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"34.4",",,Z","21.1",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-08-07",,,,,,,,,,,,,"7.1",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"26.1",",,Z","18.9",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-08-08",,,,,,,,,,,,,"0.0",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"29.4",",,Z","18.9",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-08-09",,,,,,,,,,,,,"0.0",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"30.6",",,Z","17.8",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-08-10",,,,,,,,,,,,,"0.0",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"28.9",",,Z","17.8",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-08-11",,,,,,,,,,,,,"0.0",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"28.3",",,Z","16.7",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-08-12",,,,,,,,,,,,,"0.0","T,,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"28.9",",,Z","19.4",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-08-13",,,,,,,,,,,,,"1.8",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"31.7",",,Z","20.0",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-08-14",,,,,,,,,,,,,"0.0","T,,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"30.6",",,Z","18.9",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-08-15",,,,,,,,,,,,,"0.0",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"27.8",",,Z","18.3",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-08-16",,,,,,,,,,,,,"3.8",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"24.4",",,Z","18.3",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-08-17",,,,,,,,,,,,,"24.9",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"27.2",",,Z","21.1",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-08-18",,,,,,,,,,,,,"0.8",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"28.3",",,Z","21.1",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-08-19",,,,,,,,,,,,,"18.5",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"29.4",",,Z","15.0",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-08-20",,,,,,,,,,,,,"0.0",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"23.9",",,Z","12.8",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-08-21",,,,,,,,,,,,,"0.0",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"23.9",",,Z","12.2",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-08-22",,,,,,,,,,,,,"0.0",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"24.4",",,Z","11.1",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
