Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,Category
02-11-1991,25.0,32.2,27.9,71.0,0.0,4.5,4.0,360.0,1.0,N ,Sun
03-11-1991,24.0,31.8,27.9,71.0,0.0,3.6,4.0,330.0,0.0,N ,Sun
04-11-1991,23.0,32.1,26.9,78.0,40.8,5.8,4.0,360.0,1.0,N ,Rain
05-11-1991,24.0,29.6,26.5,76.0,4.8,4.3,4.0,350.0,2.0,N ,Drizzle
06-11-1991,24.0,31.7,26.9,74.0,0.0,2.0,3.0,30.0,2.0,N ,Sun
07-11-1991,23.0,32.4,27.4,74.0,26.5,3.5,4.0,320.0,2.0,N ,Rain
08-11-1991,25.0,28.9,25.7,82.0,0.0,0.6,3.0,290.0,0.0,NW,Sun
09-11-1991,24.0,32.7,27.6,70.0,0.0,0.0,4.0,320.0,2.0,NW,Sun
10-11-1991,24.0,30.1,26.3,78.0,0.0,3.5,3.0,330.0,0.0,NW,Sun
11-11-1991,24.0,32.3,27.5,67.0,0.8,0.0,4.0,350.0,2.0,N ,Sun
12-11-1991,23.0,31.3,26.1,81.0,36.5,1.5,4.0,20.0,1.0,W ,Rain
13-11-1991,23.0,31.2,26.9,80.0,3.5,1.7,4.0,360.0,2.0,N ,Drizzle
14-11-1991,23.0,30.6,26.2,82.0,16.5,1.2,4.0,110.0,0.0,N ,Rain
15-11-1991,23.0,29.2,26.1,82.0,0.0,0.0,5.0,340.0,2.0,N ,Sun
16-11-1991,24.0,30.1,26.4,79.0,8888.0,0.0,3.0,350.0,1.0,E ,Rain
17-11-1991,24.0,30.9,27.2,75.0,0.0,1.7,4.0,350.0,1.0,N ,Sun
18-11-1991,24.0,33.9,28.7,70.0,0.0,0.8,6.0,40.0,2.0,N ,Sun
19-11-1991,24.0,33.4,28.0,74.0,0.0,7.6,6.0,40.0,2.0,N ,Sun
20-11-1991,24.0,31.6,27.7,73.0,6.9,8.0,5.0,20.0,2.0,N ,Rain
21-11-1991,25.0,31.2,27.4,80.0,0.0,3.2,3.0,360.0,2.0,N ,Sun
22-11-1991,24.0,31.6,27.8,76.0,2.4,1.2,4.0,300.0,0.0,W ,Drizzle
23-11-1991,24.0,29.7,27.0,80.0,1.5,4.2,5.0,350.0,1.0,N ,Drizzle
24-11-1991,23.0,30.0,25.6,84.0,2.0,2.4,3.0,10.0,0.0,N ,Drizzle
25-11-1991,24.0,30.4,26.8,79.0,0.0,0.0,4.0,40.0,1.0,N ,Sun
26-11-1991,24.0,32.1,27.3,78.0,0.0,2.4,3.0,20.0,1.0,N ,Sun
27-11-1991,24.0,31.2,26.9,78.0,0.0,1.6,3.0,280.0,0.0,W ,Sun
28-11-1991,25.0,29.7,27.1,78.0,0.6,4.5,3.0,360.0,1.0,N ,Sun
29-11-1991,25.0,31.6,27.6,74.0,0.0,1.2,4.0,30.0,0.0,NE,Sun
30-11-1991,25.0,32.0,28.1,75.0,0.0,4.1,5.0,340.0,2.0,N ,Sun
01-12-1991,24.0,28.7,26.7,82.0,8888.0,3.0,2.0,70.0,0.0,E ,Rain
02-12-1991,23.0,30.8,26.3,84.0,47.2,0.0,3.0,270.0,1.0,E ,Rain
03-12-1991,23.0,31.5,26.3,84.0,0.0,0.0,3.0,10.0,0.0,NE,Sun
04-12-1991,24.0,32.5,26.4,84.0,24.7,2.5,6.0,300.0,2.0,W ,Rain
05-12-1991,24.0,32.9,28.1,74.0,4.8,2.0,4.0,270.0,1.0,W ,Drizzle
06-12-1991,24.0,31.6,27.6,76.0,3.9,3.2,6.0,360.0,2.0,N ,Drizzle
07-12-1991,25.0,31.6,27.8,76.0,8.6,0.0,7.0,310.0,2.0,NW,Rain
08-12-1991,25.0,29.0,26.1,86.0,4.5,3.0,4.0,350.0,1.0,N ,Drizzle
09-12-1991,23.0,30.2,26.7,80.0,1.7,0.0,3.0,250.0,2.0,W ,Drizzle
10-12-1991,23.0,31.0,27.2,77.0,8.0,0.0,4.0,330.0,2.0,W ,Rain
11-12-1991,25.0,32.0,27.1,86.0,0.0,5.2,5.0,280.0,2.0,SW,Sun
12-12-1991,24.0,30.1,26.9,84.0,14.6,2.5,3.0,10.0,1.0,N ,Rain
13-12-1991,24.0,31.6,27.6,78.0,0.0,0.0,4.0,90.0,2.0,N ,Sun
14-12-1991,24.0,31.0,27.5,80.0,0.0,5.7,4.0,340.0,1.0,NW,Sun
15-12-1991,24.0,30.5,26.6,80.0,0.6,0.8,7.0,150.0,2.0,W ,Sun
16-12-1991,24.0,33.2,27.4,76.0,7.9,0.7,5.0,300.0,2.0,W ,Rain
17-12-1991,25.0,31.5,28.3,72.0,0.0,8.0,5.0,330.0,2.0,NW,Sun
18-12-1991,25.0,32.1,28.0,74.0,0.0,3.7,4.0,350.0,1.0,N ,Sun
19-12-1991,25.0,30.7,27.8,76.0,0.0,0.0,4.0,290.0,1.0,SW,Sun
20-12-1991,25.0,31.8,28.3,74.0,8888.0,1.3,4.0,260.0,2.0,SW,Rain
21-12-1991,24.0,31.9,26.8,82.0,0.0,0.7,4.0,320.0,1.0,SE,Sun
22-12-1991,25.0,29.8,27.1,79.0,23.2,0.0,4.0,360.0,2.0,W ,Rain
23-12-1991,24.0,31.5,28.0,78.0,8888.0,0.7,3.0,90.0,1.0,NW,Rain
24-12-1991,25.0,31.6,28.0,74.0,1.2,0.0,3.0,350.0,1.0,N ,Drizzle
25-12-1991,24.0,32.4,28.4,76.0,0.0,0.8,7.0,340.0,2.0,N ,Sun
26-12-1991,24.0,30.0,27.0,83.0,2.6,4.3,3.0,340.0,0.0,NW,Drizzle
27-12-1991,23.0,31.2,26.4,84.0,4.6,0.0,5.0,290.0,2.0,NW,Drizzle
28-12-1991,24.0,31.8,27.6,78.0,3.9,1.5,4.0,360.0,2.0,N ,Drizzle
29-12-1991,24.0,31.2,26.7,82.0,0.0,1.8,5.0,330.0,1.0,SE,Sun
30-12-1991,24.0,31.4,25.9,82.0,0.0,0.0,4.0,240.0,0.0,W ,Sun
31-12-1991,24.0,31.2,26.2,78.0,0.0,0.0,4.0,350.0,1.0,N ,Sun
01-01-1992,24.0,30.1,26.4,78.0,6.4,2.0,3.0,120.0,0.0,SE,Rain
02-01-1992,25.0,28.2,26.9,78.0,0.0,0.0,3.0,300.0,1.0,W ,Sun
03-01-1992,24.0,30.2,26.3,83.0,0.5,0.0,3.0,320.0,1.0,NW,Sun
04-01-1992,23.0,30.6,25.9,84.0,8888.0,1.6,7.0,120.0,1.0,NW,Rain
05-01-1992,25.0,31.8,27.5,78.0,4.4,1.8,3.0,360.0,0.0,NW,Drizzle
06-01-1992,26.0,31.6,28.3,74.0,0.0,4.0,4.0,350.0,1.0,N ,Sun
07-01-1992,24.0,31.6,28.2,74.0,0.0,2.0,8.0,280.0,2.0,W ,Sun
08-01-1992,25.0,31.8,27.6,78.0,11.7,3.0,4.0,320.0,1.0,NW,Rain
09-01-1992,24.0,32.0,27.2,80.0,0.0,4.5,6.0,300.0,2.0,NW,Sun
10-01-1992,24.0,30.8,27.2,76.0,0.0,5.0,5.0,310.0,2.0,W ,Sun
11-01-1992,24.0,28.6,26.2,82.0,45.6,8.0,5.0,270.0,0.0,N ,Rain
12-01-1992,23.0,28.8,26.5,87.0,32.2,0.0,4.0,310.0,1.0,W ,Rain
13-01-1992,23.0,29.0,26.1,87.0,26.0,0.0,4.0,320.0,0.0,NW,Rain
14-01-1992,23.0,31.2,26.5,82.0,17.9,0.0,5.0,290.0,2.0,W ,Rain
15-01-1992,23.0,29.4,25.6,86.0,41.5,2.8,4.0,340.0,1.0,N ,Rain
16-01-1992,25.0,30.8,26.6,80.0,2.7,1.0,5.0,290.0,1.0,W ,Drizzle
17-01-1992,24.0,30.8,27.3,78.0,0.0,5.2,4.0,310.0,2.0,N ,Sun
18-01-1992,24.0,32.3,27.7,78.0,0.0,6.0,4.0,340.0,2.0,N ,Sun
19-01-1992,24.0,30.4,27.4,76.0,0.0,0.6,5.0,250.0,2.0,W ,Sun
20-01-1992,23.0,30.8,26.8,76.0,0.0,0.3,5.0,320.0,2.0,W ,Sun
21-01-1992,23.0,26.0,23.7,98.0,27.4,4.3,2.0,270.0,0.0,W ,Rain
22-01-1992,24.0,29.3,26.3,88.0,64.0,1.2,4.0,260.0,0.0,W ,Rain
23-01-1992,23.0,30.2,25.1,86.0,15.2,0.0,3.0,320.0,0.0,NW,Rain
24-01-1992,22.0,28.1,24.2,94.0,36.2,1.2,3.0,210.0,0.0,SW,Rain
25-01-1992,23.0,30.9,26.7,81.0,8.7,0.0,5.0,290.0,2.0,SW,Rain
26-01-1992,24.0,31.1,27.1,82.0,4.8,0.0,5.0,360.0,2.0,N ,Drizzle
27-01-1992,25.0,31.1,27.4,80.0,0.0,3.7,5.0,350.0,2.0,NW,Sun
28-01-1992,25.0,30.1,27.2,86.0,0.0,2.3,5.0,290.0,2.0,NW,Sun
29-01-1992,24.0,30.6,27.1,82.0,9.8,8.0,7.0,350.0,2.0,NW,Rain
30-01-1992,25.0,30.4,27.1,80.0,1.7,3.3,3.0,350.0,1.0,N ,Drizzle
31-01-1992,24.0,33.1,27.9,76.0,0.0,1.8,5.0,350.0,2.0,N ,Sun
01-02-1992,24.0,31.9,27.8,78.0,4.8,7.8,5.0,360.0,2.0,NW,Drizzle
02-02-1992,23.0,31.2,26.4,84.0,8888.0,1.2,5.0,330.0,2.0,W ,Rain
03-02-1992,25.0,29.0,26.2,82.0,8888.0,0.3,4.0,320.0,2.0,NW,Rain
04-02-1992,24.0,28.2,26.5,85.0,54.1,0.0,3.0,300.0,1.0,NW,Rain
05-02-1992,25.0,31.6,27.3,77.0,0.0,0.0,5.0,340.0,2.0,NW,Sun
06-02-1992,24.0,30.6,26.7,88.0,20.4,6.8,2.0,350.0,0.0,N ,Rain
07-02-1992,24.0,30.0,26.4,81.0,1.6,0.7,4.0,310.0,2.0,NW,Drizzle
08-02-1992,24.0,31.3,27.3,80.0,39.3,0.0,5.0,260.0,2.0,W ,Rain
09-02-1992,23.0,30.4,26.3,85.0,0.9,2.8,3.0,280.0,2.0,W ,Sun
10-02-1992,24.0,31.4,26.7,79.0,11.6,0.0,6.0,270.0,2.0,W ,Rain
11-02-1992,25.0,31.7,27.7,79.0,0.2,0.8,3.0,300.0,2.0,W ,Sun
12-02-1992,25.0,30.6,26.5,78.0,2.5,3.2,5.0,270.0,2.0,W ,Drizzle
13-02-1992,25.0,32.0,28.0,74.0,0.4,1.7,4.0,290.0,2.0,W ,Sun
14-02-1992,24.0,32.6,27.7,73.0,1.2,2.3,5.0,280.0,2.0,W ,Drizzle
15-02-1992,24.0,32.9,28.0,76.0,0.0,2.3,6.0,240.0,2.0,W ,Sun
16-02-1992,24.0,33.2,27.6,80.0,8888.0,7.3,4.0,300.0,2.0,W ,Rain
17-02-1992,25.0,32.2,28.2,73.0,0.0,3.8,4.0,340.0,2.0,W ,Sun
18-02-1992,25.0,32.0,27.1,76.0,1.3,4.2,5.0,320.0,2.0,W ,Drizzle
19-02-1992,25.0,33.2,27.6,74.0,0.6,6.0,5.0,290.0,2.0,SW,Sun
