Day,Feature_Set,Feature_Count,RMSE,R2
1,all,77,12.146263831642024,0.27169534139831963
2,rainfall_patterns,40,14.323820801301224,-0.012850683655041495
3,rainfall_patterns,40,14.029374269789558,0.028165984712277603
