Rank,Feature_Name,Feature_Type,Average_Importance,Std_Importance,RR_Importance,ss_Importance,Tavg_Importance,ddd_car_Importance,ff_avg_Importance
57,ss_Lag_3,Original,0.000267,0.000278,0.000412,0.000131,2.3e-05,2.5e-05,0.000745
58,Sunny_Binary_Lag_2,Original,0.000263,0.000526,0.0,0.001315,0.0,0.0,0.0
59,RR_Rolling_Mean_14d,Original,0.000251,0.000171,0.000408,2.4e-05,0.000174,0.000161,0.000487
60,RR_Lag_7,Original,0.000238,0.000261,0.000225,0.000115,0.000112,0.0,0.00074
61,RR_Lag_5,Original,0.000218,0.000269,0.000161,7.6e-05,0.000101,4e-06,0.000746
62,ss_Rolling_Mean_14d,Original,0.000212,0.000274,0.000759,8.5e-05,2.9e-05,8.6e-05,0.000102
63,DayOfYear_sin,Engineered,0.000188,0.000232,0.00065,9.1e-05,9.1e-05,2.3e-05,8.5e-05
64,ff_avg_Rolling_Mean_7d,Original,0.000185,0.000305,1.4e-05,9e-06,0.000101,8e-06,0.000791
65,ddd_car_Rolling_Std_14d,Original,0.00018,8.7e-05,6.3e-05,0.000176,0.000154,0.000175,0.000332
66,Day_sin,Engineered,0.000174,0.000192,0.000187,8.1e-05,4.4e-05,1.7e-05,0.000541
67,ss_Lag_14,Original,0.000168,0.000111,0.000316,8e-05,0.000114,4.5e-05,0.000287
68,Tavg_Lag_14,Original,0.000165,0.000132,0.000345,8.5e-05,3.7e-05,5.6e-05,0.000304
69,ddd_car_Lag_7,Original,0.000165,0.000183,0.000124,7e-05,7.6e-05,2.8e-05,0.000526
70,Tavg_Rolling_Mean_14d,Original,0.000158,0.000161,0.000141,8.3e-05,0.00047,1.8e-05,7.9e-05
71,RR_Lag_14,Original,0.000158,0.000103,0.000205,8.2e-05,0.000103,6e-05,0.00034
72,Tavg_Lag_7,Original,0.000155,8.3e-05,0.000239,3.3e-05,0.0001,0.000147,0.000254
73,ff_avg_Lag_14,Original,0.000118,0.000229,0.000576,1e-06,1.2e-05,0.0,0.0
74,Day_cos,Engineered,0.000109,0.000131,0.000366,3.7e-05,4.8e-05,1e-05,8.6e-05
75,Day,Original,9.5e-05,8.8e-05,4e-05,0.000121,5.9e-05,4e-06,0.000253
76,ff_avg_Lag_5,Original,7.4e-05,0.000107,1e-05,3.8e-05,1.4e-05,2e-05,0.000288
77,ss_Lag_5,Original,7e-05,6.7e-05,0.0002,3.6e-05,5.6e-05,5.1e-05,6e-06
78,ff_avg_Rolling_Mean_14d,Original,6.6e-05,8.2e-05,1.1e-05,5.5e-05,2.9e-05,7e-06,0.000226
79,ff_avg_Lag_7,Original,6e-05,6.7e-05,0.00012,5e-06,1.4e-05,0.0,0.000159
80,ff_avg_Lag_3,Original,5.6e-05,5.3e-05,3.7e-05,4e-06,0.000119,0.0,0.000121
81,Season,Original,5.6e-05,6.2e-05,3.5e-05,7e-06,6.9e-05,0.0,0.00017
82,ddd_car_Lag_5,Original,4.9e-05,1.1e-05,5.1e-05,3.6e-05,4.8e-05,6.9e-05,4.3e-05
83,Sunny_Binary_Lag_1,Original,4.8e-05,9.6e-05,0.0,0.000239,0.0,0.0,0.0
84,Month,Original,4.7e-05,5.9e-05,0.000164,3.1e-05,0.0,1.8e-05,2.4e-05
85,ddd_car_Lag_14,Original,3.5e-05,3.5e-05,9.6e-05,2.1e-05,5e-06,4e-06,5.1e-05
86,Month_cos,Engineered,3.4e-05,3.4e-05,2.2e-05,3.6e-05,9.8e-05,1.4e-05,0.0
87,Rain_Binary_Lag_14,Original,1.8e-05,2.9e-05,0.0,0.0,1.5e-05,0.0,7.4e-05
88,Month_sin,Engineered,1e-05,1.6e-05,0.0,1e-05,4e-05,0.0,0.0
89,Sunny_Binary_Lag_5,Original,9e-06,1.1e-05,2.2e-05,1e-06,2.4e-05,0.0,0.0
90,Rain_Binary_Lag_7,Original,7e-06,9e-06,0.0,2.3e-05,1.3e-05,0.0,0.0
91,Sunny_Binary_Lag_14,Original,3e-06,6e-06,1.5e-05,0.0,0.0,0.0,0.0
92,Rain_Binary_Lag_5,Original,1e-06,1e-06,0.0,3e-06,0.0,0.0,0.0
93,Rain_Binary_Lag_1,Original,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Rain_Binary_Lag_2,Original,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0
95,Sunny_Binary_Lag_3,Original,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Rain_Binary_Lag_3,Original,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Sunny_Binary_Lag_7,Original,0.0,0.0,0.0,0.0,0.0,0.0,0.0
