,RMSE,MAE,R2,MAPE,EV,Training_Time
0,11.8436,7.5655,0.3172,2192424643869.6003,0.334,1.6796
1,13.186,8.5713,0.1539,2710656790353.2827,0.1585,1.6523
2,14.2789,9.3013,0.0024,3105446419491.327,0.0216,1.7166
