,RMSE,MAE,R2,MAPE,EV,Training_Time
0,11.7717,7.4466,0.3264,1966133618955.2563,0.3453,1.9585
1,13.6675,9.0441,0.0872,3035722455210.1807,0.11,1.9296
2,14.0029,9.3333,0.0419,3024310606741.7856,0.0719,1.9042
