target,config_id,n_estimators,learning_rate,max_depth,r2_score,rmse,mae,training_time,r2_std
RR,0,250,0.2,3,0.9141749160358826,0.8488209098808713,0.5761097290622459,0.17309888203938803,0.02100365217186234
RR,1,500,0.15,10,0.82171468943816,1.2314929057536121,0.8134431879284731,0.8024210135142008,0.021336456969113154
RR,2,400,0.2,10,0.7835207332476878,1.3489626603861644,0.9029883477329318,0.6560299396514893,0.05233536054328645
RR,3,150,0.08,4,0.8504195023520054,1.1184436767025165,0.7919979959632387,0.1297913392384847,0.04179825664403057
RR,4,500,0.2,4,0.892780256834698,0.9345401187842093,0.6055477907553746,0.4327433109283447,0.043486699452986624
RR,5,150,0.01,6,0.575227340038171,1.9050393318334786,1.401468482483452,0.17237440745035806,0.01827681878512675
RR,6,200,0.02,7,0.7971365700934271,1.312576555021364,0.9341287597727316,0.2561083634694417,0.028243681746437984
RR,7,500,0.3,5,0.8432787223616653,1.139669836597796,0.747619073215844,0.49943264325459796,0.04867301409025149
RR,8,300,0.01,8,0.7652077072650777,1.4116622333965372,1.0127517359241305,0.4146866798400879,0.0353509955852197
RR,9,200,0.2,10,0.783522596684547,1.3489604684442478,0.9030017750285818,0.32961440086364746,0.05232649387485149
RR,10,300,0.15,4,0.8855786016014147,0.9690761526807368,0.6080591666861781,0.2585314114888509,0.04333724351392529
RR,11,300,0.1,3,0.9028688046051955,0.9041879815441564,0.6364910922220991,0.21459237734476724,0.020959027513197673
RR,12,250,0.1,4,0.8802197440554415,0.9936344686714462,0.6551757118358947,0.21585257848103842,0.04357497450384779
RR,13,100,0.05,7,0.8087950023842417,1.2727104661486572,0.8883926675316755,0.129486083984375,0.03167531802043087
RR,14,50,0.02,5,0.4474534749111809,2.170901549740735,1.595690396491592,0.05123130480448405,0.03725570549088379
RR,15,300,0.01,7,0.7563770860842207,1.439432976342859,1.0420399227012214,0.38145971298217773,0.031178611732173497
RR,16,100,0.02,9,0.6985663667138402,1.601320118686104,1.1533177476754723,0.1484663486480713,0.035561560989440674
RR,17,50,0.08,9,0.796491423317199,1.3114658142692361,0.916725655499815,0.07568709055582683,0.03283006207461188
RR,18,150,0.3,3,0.8918692793214366,0.9501988131616236,0.6503849562860805,0.10695068041483562,0.03037949977962238
RR,19,200,0.01,6,0.6495685302905038,1.7299159561459165,1.2684209502466464,0.2284250259399414,0.018960629048682846
RR,20,200,0.08,9,0.838738209215578,1.1665954144127288,0.7875457126485946,0.304168701171875,0.02881280705014357
RR,21,200,0.05,4,0.8410760579655255,1.1591071077388664,0.8242351976267891,0.17233943939208984,0.0303206654920313
RR,22,250,0.08,4,0.8824226475204703,0.9886032211223217,0.6735415285177432,0.2151962916056315,0.03784478984815841
RR,23,200,0.05,3,0.7936339333912454,1.323816920778858,0.9832806627734247,0.1423963705698649,0.029668395574554658
RR,24,100,0.3,7,0.8039750669644569,1.2844424370502416,0.8695853880250505,0.1312375863393148,0.045703580427193004
RR,25,200,0.3,5,0.8425639355730036,1.1424567591309482,0.7511597218244933,0.20032930374145508,0.04845365113097355
RR,26,100,0.02,7,0.6833257695683891,1.6435450009622865,1.1962652838906926,0.1269989808400472,0.02484604930029764
RR,27,300,0.3,7,0.8040513101100794,1.2841759459457611,0.870565189342123,0.3801947434743245,0.04566127011654529
RR,28,300,0.05,9,0.8388093346525264,1.166263594401438,0.780888611684385,0.4601370493570964,0.030473848538511008
RR,29,300,0.01,6,0.7348636249246229,1.5039660074601884,1.0964865009758624,0.341964324315389,0.02171903080449339
RR,30,200,0.2,7,0.82671448601318,1.2026065712824983,0.7793467523309671,0.25546932220458984,0.0477533742130983
RR,31,300,0.02,6,0.8291589500725713,1.2039866859164587,0.8441454932902094,0.34210205078125,0.0245341096404225
RR,32,150,0.02,7,0.7589157944118566,1.432275602635225,1.0310351985689734,0.1908580462137858,0.02734901606370764
RR,33,50,0.02,4,0.38813459752121154,2.28820986894791,1.6768663962342518,0.043833017349243164,0.014067091767992625
RR,34,100,0.02,3,0.47619070813146536,2.1157448690760643,1.5729804387843214,0.07185864448547363,0.020426472886170315
RR,35,400,0.02,9,0.835056931733272,1.1802919513218046,0.8151331292701638,0.6257592837015787,0.031095131545686782
RR,36,500,0.1,7,0.8615196425795558,1.0753256507590336,0.7039043283525585,0.6360487143198649,0.03868371682858579
RR,37,200,0.1,4,0.8722186738613757,1.0281305872208708,0.6866529460265323,0.17194787661234537,0.043649063926006315
RR,38,100,0.02,4,0.5553744577555838,1.949306132692601,1.4424361212959222,0.08805632591247559,0.01800371338309871
RR,39,150,0.2,4,0.8794661178032969,0.9946763426671263,0.668519218814596,0.128924290339152,0.04415156648239627
RR,40,400,0.1,10,0.8152446339117638,1.2489023383521751,0.8445442629707517,0.6666311422983805,0.03524177057266809
RR,41,100,0.01,7,0.501258089428879,2.0644097188519344,1.5140956764195475,0.13329768180847168,0.023428895143307583
RR,42,150,0.08,6,0.8534613597501406,1.1048281916493636,0.7376617282757373,0.17121005058288574,0.04331851176993822
RR,43,50,0.2,10,0.7796916650541257,1.3609892832205377,0.912992890514981,0.08272775014241536,0.052901119470349735
RR,44,400,0.05,6,0.8725063777918628,1.0314383833800864,0.6771307164279952,0.4572032292683919,0.036660243392773996
RR,45,250,0.15,5,0.880781842642855,0.9876867466970967,0.6451122645361683,0.25533612569173175,0.04773694029451183
RR,46,100,0.02,8,0.6942035141010227,1.6128798273872447,1.1657252959669,0.1403814156850179,0.03629673254869688
RR,47,500,0.2,8,0.8101839609892937,1.264352343094231,0.8381552232672114,0.727922280629476,0.03844101777484395
RR,48,250,0.3,8,0.7703480081025824,1.3878308304054416,0.9110288538543908,0.35017887751261395,0.059969849353806094
RR,49,500,0.08,4,0.9022109761217719,0.8975959607230308,0.586811019769285,0.43206262588500977,0.03667627788513045
RR,50,100,0.08,5,0.8267548480595875,1.2030463188197456,0.8415721471575527,0.10205801328023274,0.04824953397380897
RR,51,200,0.15,9,0.8222898906735626,1.2257115412041193,0.818366037255292,0.30668242772420246,0.027653300246330035
RR,52,500,0.1,5,0.8785467615944688,0.9967460576993422,0.6415901629414309,0.5026257832845052,0.04792367598087298
RR,53,50,0.3,10,0.7733125729353612,1.3744829733276556,0.9257543404903665,0.08253415425618489,0.06630786424648566
RR,54,500,0.01,10,0.8172764443965791,1.2440745314072685,0.8739230869255817,0.8123573462168375,0.0301118399002265
RR,55,100,0.01,9,0.528879328764695,2.005703401741986,1.4578003503690053,0.14838862419128418,0.0285775374845947
RR,56,50,0.01,5,0.2746480267631412,2.491112742275753,1.8198531096271653,0.051561832427978516,0.012842702093048055
RR,57,250,0.08,10,0.8167706582356091,1.2432531860129974,0.838822147461577,0.41235073407491046,0.034228356512566824
RR,58,300,0.05,8,0.8441000852467079,1.1438954411501165,0.7762903542025038,0.43573935826619464,0.03427725738724895
RR,59,150,0.02,4,0.644249075765824,1.7433645253207708,1.2953177635231503,0.1307379404703776,0.021622701999865726
RR,60,200,0.3,4,0.8562736294190939,1.072285048621337,0.7140420694794165,0.17279426256815592,0.06763507224653742
RR,61,200,0.01,5,0.6139821489724361,1.8159746981412883,1.3406944743683862,0.20337605476379395,0.02189750924322368
RR,62,150,0.15,7,0.8425698796268905,1.1392116275658803,0.7604548956209123,0.19193530082702637,0.05618862198787085
RR,63,100,0.05,5,0.7825043965945069,1.3591517225423797,0.9755763627508237,0.10194039344787598,0.02842665899643984
RR,64,500,0.01,6,0.8104182294447204,1.2701954276027436,0.9035608952386633,0.5726563135782877,0.022487257494746254
RR,65,250,0.3,9,0.7754333078185257,1.3793431408791672,0.9315303865631482,0.3770911693572998,0.03456089770089826
RR,66,50,0.1,4,0.7425921275776212,1.4768528746434795,1.0659208492861685,0.043788909912109375,0.0402874262257605
RR,67,400,0.15,3,0.920269523891074,0.8119295071598076,0.5446796604312522,0.28347015380859375,0.024801784057038888
RR,68,200,0.1,6,0.8692197374681133,1.0404612626413374,0.6813054595611407,0.23618340492248535,0.04138086286403431
RR,69,50,0.01,3,0.19985462277883662,2.6167304067561825,1.9170117084052116,0.03733388582865397,0.014789446959829663
RR,70,50,0.02,6,0.4804567012249466,2.108084274602535,1.5395359275161475,0.059111992518107094,0.011424052863628359
RR,71,200,0.15,8,0.8315394792180927,1.1970367609880423,0.7870568015254329,0.2829500039418538,0.023623835459595236
RR,72,50,0.05,9,0.7373018404407551,1.494800792665809,1.058645000404814,0.07512283325195312,0.029310934313592142
RR,73,100,0.15,3,0.8433358361852376,1.1509697516732502,0.8423519739287224,0.07216167449951172,0.025136703580558115
RR,74,250,0.15,3,0.9052445848200258,0.8889035894739572,0.6155576964278202,0.17704478899637857,0.024802585479008946
RR,75,100,0.1,8,0.8406775217680423,1.155984147070318,0.7775987771719409,0.14019266764322916,0.034530416698997035
RR,76,100,0.02,10,0.7015042653935835,1.5908919384973483,1.1344199392660579,0.1569066047668457,0.048181606265643086
RR,77,400,0.3,3,0.9081762016043798,0.8727469052350423,0.5887974162605903,0.2823208173116048,0.029088434273448687
RR,78,400,0.15,10,0.8217146688222267,1.2314929707788986,0.8134431236762537,0.6549929777781168,0.021336496740149237
RR,79,50,0.05,5,0.6583381856403157,1.7063897335808142,1.2478132753513833,0.05121477444966634,0.02665135976170413
RR,80,150,0.2,3,0.8934438117414102,0.9481273514791865,0.6631996976366604,0.10727302233378093,0.022154617131346154
RR,81,200,0.1,10,0.8148544128179177,1.250254373276148,0.8458317493579278,0.333396037419637,0.0352531142313298
RR,82,500,0.2,9,0.8079358141830074,1.2665721101495977,0.8398279864438067,0.7432485421498617,0.051684693124394394
RR,83,150,0.01,7,0.6083113129564423,1.828159734078545,1.3445596105580837,0.1915284792582194,0.028489104321693295
RR,84,50,0.1,10,0.7912539307319078,1.329016951319352,0.912116598313882,0.0810556411743164,0.035882225723820924
RR,85,500,0.02,9,0.8404202811371958,1.1602798099823557,0.7980982159608438,0.7677453358968099,0.03151070013609225
RR,86,50,0.15,9,0.811276367035609,1.2645337141951218,0.8506786887762189,0.0773626168568929,0.025918563216822618
RR,87,300,0.1,7,0.8611951418096379,1.0766589162698195,0.7056072343206189,0.3946666717529297,0.038655232349001326
RR,88,250,0.05,8,0.842161773279351,1.1511626444128542,0.7834188438394974,0.3578660488128662,0.03432717718299049
RR,89,300,0.15,3,0.9121523309426872,0.8543824226372722,0.5841971406917014,0.2158184051513672,0.025015731098698372
RR,90,100,0.08,8,0.8208795161093074,1.2301929522251205,0.8268625529969235,0.1460080941518148,0.03474734915074346
RR,91,300,0.3,3,0.9066051380643284,0.8805701979340518,0.5920794626799252,0.21167524655659994,0.029543167329260198
RR,92,200,0.02,6,0.7837230668518657,1.3564174739014183,0.9759007850107322,0.228578249613444,0.023743201808513425
RR,93,500,0.01,3,0.676224142301066,1.663454020512255,1.2459675778439825,0.3565532366434733,0.012412163193574693
RR,94,150,0.05,7,0.8361522074959579,1.1757491163742024,0.8066995750512814,0.19376794497172037,0.033574139454538514
RR,95,200,0.08,7,0.8493020772355045,1.1216143077900933,0.7356045544410313,0.2551368872324626,0.03979273073607259
RR,96,100,0.01,8,0.5211206421455669,2.0221781843335944,1.4763661885157315,0.13846969604492188,0.0313874120715191
RR,97,200,0.3,8,0.7703451625729523,1.3878408405959453,0.9110463258221673,0.27997509638468426,0.05996747063621259
RR,98,400,0.02,7,0.8482287584878078,1.1332152962381625,0.7746883677708506,0.5105054378509521,0.026863239033100516
RR,99,150,0.1,10,0.8142220449938851,1.2524553127967288,0.8479874758589775,0.2470714251200358,0.035199445333754326
ss,0,250,0.2,3,-0.027962130786064427,2.524370213032571,2.0414238991242897,0.17717671394348145,0.16490217371520838
ss,1,500,0.15,10,0.11414450494808508,2.3476568765143146,1.8696858548549,0.7960747877756754,0.06103274595538883
ss,2,400,0.2,10,0.10620409965105775,2.359380954326717,1.8816810263834158,0.6594298680623373,0.0075914638153321565
ss,3,150,0.08,4,0.1738167036154622,2.267680006115768,1.8154320437069476,0.12873299916585287,0.05449826381374678
ss,4,500,0.2,4,-0.049492808324539804,2.5561788613288896,2.04512204124708,0.4291680653889974,0.06596015159385345
ss,5,150,0.01,6,0.17875826697583908,2.2612515628114647,1.7834014818538853,0.17144195238749185,0.024315625243593725
ss,6,200,0.02,7,0.21170145212916688,2.2151099034785897,1.763663215627093,0.25678245226542157,0.038236625181138
ss,7,500,0.3,5,-0.13546464772059696,2.658940157142784,2.1269405269501562,0.5033169587453207,0.018842747613718035
ss,8,300,0.01,8,0.2172676907762654,2.207348506039271,1.7558300845179549,0.42176135381062824,0.03462812105831482
ss,9,200,0.2,10,0.10616108635233612,2.359438327497287,1.8817497926311848,0.33288145065307617,0.0076329612640499995
ss,10,300,0.15,4,-0.044987506790446385,2.547829349319162,2.0639433510218095,0.2698508898417155,0.1311013036818586
ss,11,300,0.1,3,0.14807673088957163,2.302363004526444,1.8317525814151283,0.21229028701782227,0.06008481057933752
ss,12,250,0.1,4,0.09882785644089298,2.368081579837442,1.8958211875052318,0.2153184413909912,0.06701999781785727
ss,13,100,0.05,7,0.18780065250969233,2.248262845488769,1.7882630590479405,0.12737568219502768,0.03932277667000382
